Année,FINESS,Raison sociale,Commune,Statut Juridique,Région
2013,170785059,170785059 - ADA 17,LA ROCHELLE,Privé non lucratif,54 - Poitou-Charentes
2013,170791321,170791321 - USLD (CH LA ROCHELLE),PUILBOREAU,Public,54 - Poitou-Charentes
2013,170792212,170792212 - A.D.A. 17,SAINTES,Privé non lucratif,54 - Poitou-Charentes
2013,170792220,170792220 - CH SAINTONGE - SOINS DE SUITE & READAP,SAINTES,Public,54 - Poitou-Charentes
2013,170794929,170794929 - A.D.A. 17,VAUX-SUR-MER,Privé non lucratif,54 - Poitou-Charentes
2013,170795165,170795165 - A.D.A. 17,SAINT-JEAN-D'ANGELY,Privé non lucratif,54 - Poitou-Charentes
2013,170802656,170802656 - A.D.A.17,ROCHEFORT,Privé non lucratif,54 - Poitou-Charentes
2013,170803431,170803431 - Clinique Cardiocean,PUILBOREAU,Privé lucratif,54 - Poitou-Charentes
2013,170804090,170804090 - A.D.A. 17,SAINT-PIERRE-D'OLERON,Privé non lucratif,54 - Poitou-Charentes
2013,180000010,180000010 - HOPITAL JACQUES COEUR - CH BOURGES,BOURGES,Public,24 - Centre
2013,180000176,180000176 - CH GEORGE SAND BOURGES,BOURGES,Public,24 - Centre
2013,180000200,180000200 - CENTRE HOSPITALIER DE VIERZON,VIERZON,Public,24 - Centre
2013,180000283,180000283 - CH SAINT AMAND-MONTROND,SAINT-AMAND-MONTROND,Public,24 - Centre
2013,180000333,180000333 - CH SANCERRE,SANCERRE,Public,24 - Centre
2013,180000358,180000358 - CLINIQUE DES GRAINETIERES,SAINT-AMAND-MONTROND,Privé lucratif,24 - Centre
2013,180000382,180000382 - SAS CLINIQUE -LA GAILLARDIERE-,VIERZON,Privé lucratif,24 - Centre
2013,180000598,180000598 - M. R. ET C. -LE BLAUDY-,SAINT-DOULCHARD,Privé lucratif,24 - Centre
2013,180003287,180003287 - SSR TAILLEGRAIN - CH BOURGES,BOURGES,Public,24 - Centre
2013,180003345,180003345 - USSR  LA NOUE - CH DE VIERZON,VIERZON,Public,24 - Centre
2013,180003386,180003386 - USSR DU CH DE ST- AMAND-MONTROND,SAINT-AMAND-MONTROND,Public,24 - Centre
2013,180004145,180004145 - CLINIQUE -GUILLAUME DE VARYE,SAINT-DOULCHARD,Privé lucratif,24 - Centre
2013,180004533,180004533 - CHS CTRE READAP.SOCIO-PROFESSIONNEL,SANCERGUES,Public,24 - Centre
2013,180005662,180005662 - CENTRE D'AUTODIALYSE,VIERZON,Privé non lucratif,24 - Centre
2013,180005811,180005811 - CENTRE D'AUTODIALYSE,BELLEVILLE-SUR-LOIRE,Privé non lucratif,24 - Centre
2013,180005829,180005829 - CENTRE D'AUTODIALYSE,BOURGES,Privé non lucratif,24 - Centre
2013,180006397,180006397 - CENTRE D'AUTODIALYSE,SAINT-AMAND-MONTROND,Privé non lucratif,24 - Centre
2013,180007825,180007825 - USLD DU CH DE DUN SUR AURON,DUN-SUR-AURON,Public,24 - Centre
2013,180008278,180008278 - HAD FRANCE - BERRY,VIERZON,Privé lucratif,24 - Centre
2013,180008476,180008476 - CENTRE DE NEPHROLOGIE - UAD,AUBIGNY-SUR-NERE,Privé lucratif,24 - Centre
2013,180009177,180009177 - CHATEAU DES GADEAUX - CH BOURGES,BOURGES,Public,24 - Centre
2013,190000018,190000018 - CENTRE HOSPITALIER DUBOIS BRIVE,BRIVE-LA-GAILLARDE,Public,74 - Limousin
2013,190000026,190000026 - CENTRE HOSPITALIER TULLE,TULLE,Public,74 - Limousin
2013,190000034,190000034 - CENTRE HOSPITALIER DE BORT LES ORGUES,BORT-LES-ORGUES,Public,74 - Limousin
2013,190000091,190000091 - CENTRE HOSPITALIER D'USSEL,USSEL,Public,74 - Limousin
2013,190000117,190000117 - ASSO CENTRE HOSP PAYS EYGURANDE,MONESTIER-MERLINES,Privé non lucratif,74 - Limousin
2013,190000224,190000224 - CENTRE MEDICO-CHIR LES CEDRES BRIVE,BRIVE-LA-GAILLARDE,Privé lucratif,74 - Limousin
2013,190000257,190000257 - CLINIQUE  SAINT-GERMAIN  BRIVE,BRIVE-LA-GAILLARDE,Privé lucratif,74 - Limousin
2013,190002493,190002493 - CONVALESCENCE CURE READAPT. DU CHANDOU,TULLE,Public,74 - Limousin
2013,190005140,190005140 - USLD ALEXIS BOYER D'UZERCHE,UZERCHE,Public,74 - Limousin
2013,190005165,190005165 - UNITE DE SOINS LONGUE DUREE DE CORNIL,CORNIL,Public,74 - Limousin
2013,190005694,190005694 - CLINIQUE ST JEAN LEZ CEDRES,BRIVE-LA-GAILLARDE,Privé lucratif,74 - Limousin
2013,190010512,190010512 - UNITE DE DIALYSE USSEL,USSEL,Privé non lucratif,74 - Limousin
2013,190010553,190010553 - CENTRE DE DIALYSE BRIVE TRIANGLE,BRIVE-LA-GAILLARDE,Privé non lucratif,74 - Limousin
2013,190010629,190010629 - HAD RELAIS SANTE Oncorese,BRIVE-LA-GAILLARDE,Privé non lucratif,74 - Limousin
2013,190011197,190011197 - CTRE MEDECINE PHYSIQUE ET READAPTATION,TULLE,Public,74 - Limousin
2013,190011601,190011601 - SITE SPECIALISE HENRI LABORIT,BRIVE-LA-GAILLARDE,Public,74 - Limousin
2013,210001483,210001483 - AIDER BOURGOGNE- AUTODIALYSE CHATILLON,CHATILLON-SUR-SEINE,Privé non lucratif,26 - Bourgogne
2013,210001889,210001889 - CENTRE D'HEMODIALYSE CHRONIQUE,DIJON,Privé non lucratif,26 - Bourgogne
2013,210001939,210001939 - ESPACE DE LA BREUCHILLIÈRE,DIJON,Privé non lucratif,26 - Bourgogne
2013,210003059,210003059 - HAD FEDOSAD 21,FONTAINE-LES-DIJON,Privé non lucratif,26 - Bourgogne
2013,210005559,210005559 - CTRE D'ONCOLOGIE RADIOTHERAPIE ALTWEGG,DIJON,Privé lucratif,26 - Bourgogne
2013,210006318,210006318 - CLINIQUE CLEMENT DREVON,DIJON,Privé lucratif,26 - Bourgogne
2013,210007399,210007399 - SARL JOUVENCE NUTRITION,MESSIGNY-ET-VANTOUX,Privé lucratif,26 - Bourgogne
2013,210007555,210007555 - APPARTEMENT AIDER SAULIEU,SAULIEU,Privé non lucratif,26 - Bourgogne
2013,210010443,210010443 - CSSR -LE RENOUVEAU-,DIJON,Privé non lucratif,26 - Bourgogne
2013,210010484,210010484 - FONDATION TRANSPLANTATION DÉLÉG. AIDER,SAINT-APOLLINAIRE,Privé non lucratif,26 - Bourgogne
2013,210011847,210011847 - POLYCLINIQUE DU PARC DREVON,DIJON,Privé lucratif,26 - Bourgogne
2013,210780110,210780110 - CLINIQUE SAINTE MARTHE DIJON,DIJON,Privé lucratif,26 - Bourgogne
2013,210780136,210780136 - CLINIQUE MEDICO CHIRURGICALE CHENOVE,CHENOVE,Privé lucratif,26 - Bourgogne
2013,210780144,210780144 - CRF DIVIO DIJON,DIJON,Privé non lucratif,26 - Bourgogne
2013,210780276,210780276 - CLINIQUE BENIGNE JOLY,TALANT,Privé lucratif,26 - Bourgogne
2013,210780292,210780292 - CLINIQUE MÉDECINE PHYSIQUE LES ROSIERS,DIJON,Privé lucratif,26 - Bourgogne
2013,210780425,210780425 - HÔPITAL DE JOUR PEDOPSYCHIATRIQUE,CHENOVE,Privé non lucratif,26 - Bourgogne
2013,210780789,210780789 - CLINIQUE MUTUALISTE BÉNIGNE JOLY,TALANT,Privé lucratif,26 - Bourgogne
2013,210780979,210780979 - CLINIQUE FONTAINE-LES-DIJON,FONTAINE-LES-DIJON,Privé lucratif,26 - Bourgogne
2013,210781621,210781621 - HOPITAL GÉNÉRAL CHU DIJON,DIJON,Public,26 - Bourgogne
2013,210983466,210983466 - USLD ALISE-STE-REYNE CHAM,ALISE-SAINTE-REINE,Public,26 - Bourgogne
2013,210983565,210983565 - USLD SAULIEU CHAM,SAULIEU,Public,26 - Bourgogne
2013,210986089,210986089 - MÉDECINE À CHAMPMAILLOT CHU DIJON,DIJON,Public,26 - Bourgogne
2013,210986329,210986329 - USLD DIJON RES. N D DE LA VISITATION,DIJON,Privé non lucratif,26 - Bourgogne
2013,210986360,210986360 - AUTODIALYSE AIDER  DIJON- BOCAGE,DIJON,Privé non lucratif,26 - Bourgogne
2013,210986378,210986378 - AIDER BOURGOGNE,DIJON,Privé non lucratif,26 - Bourgogne
2013,210986725,210986725 - MAISON CONVALESCENCE -LA FOUGÈRE-,VITTEAUX,Privé lucratif,26 - Bourgogne
2013,210986741,210986741 - ETAB. CONVALESCENCE MAISON DE JOUVENCE,MESSIGNY-ET-VANTOUX,Privé lucratif,26 - Bourgogne
2013,210987046,210987046 - CTRE CONVALESCENCE GERIATRIQUE,FONTAINE-LES-DIJON,Privé lucratif,26 - Bourgogne
2013,210987558,210987558 - HÔPITAL LE BOCAGE CHU DIJON,DIJON,Public,26 - Bourgogne
2013,210987574,210987574 - HÔPITAL LOCAL ARNAY-LE-DUC,ARNAY-LE-DUC,Public,26 - Bourgogne
2013,210987582,210987582 - CENTRE HOSPITALIER IS-SUR-TILLE,IS-SUR-TILLE,Public,26 - Bourgogne
2013,210987590,210987590 - CENTRE HOSPITALIER DE  NUITS-ST-GEORGES,NUITS-SAINT-GEORGES,Public,26 - Bourgogne
2013,210987608,210987608 - CENTRE HOSPITALIER Vitteaux AUXOIS MORVAN,VITTEAUX,Public,26 - Bourgogne
2013,210987616,210987616 - CENTRE HOSPITALIER SEURRE,SEURRE,Public,26 - Bourgogne
2013,210987632,210987632 - CH LA CHARTREUSE DIJON,DIJON,Public,26 - Bourgogne
2013,210987640,210987640 - CENTRE HOSPITALIER D'AUXONNE,AUXONNE,Public,26 - Bourgogne
2013,210987657,210987657 - CH BEAUNE,BEAUNE,Public,26 - Bourgogne
2013,210987665,210987665 - CH INTERCOMMUNAL CHATILLON MONTBARD,CHATILLON-SUR-SEINE,Public,26 - Bourgogne
2013,210987673,210987673 - CH INTERCOMMUNAL CHATILLON MONTBARD,MONTBARD,Public,26 - Bourgogne
2013,210987681,210987681 - CHAM SAULIEU C.H AUXOIS-MORVAN,SAULIEU,Public,26 - Bourgogne
2013,210987699,210987699 - CENTRE HOSPITALIER ROBERT MORLEVAT,SEMUR-EN-AUXOIS,Public,26 - Bourgogne
2013,210987731,210987731 - CLCC GEORGES-FRANCOIS LECLERC,DIJON,Privé non lucratif,26 - Bourgogne
2013,210987939,210987939 - USLD CH LA CHARTREUSE DIJON,DIJON,Public,26 - Bourgogne
2013,220000012,220000012 - CENTRE HOSPITALIER YVES LE FOLL,SAINT-BRIEUC,Public,53 - Bretagne
2013,220000095,220000095 - CTRE HOSPITALIER DINAN,DINAN,Public,53 - Bretagne
2013,220000111,220000111 - POLYCLINIQUE DU TREGOR,LANNION,Privé lucratif,53 - Bretagne
2013,220000194,220000194 - Centre Hospitalier du Centre Bretagne- site de Plémet,PLEMET,Public,53 - Bretagne
2013,220000210,220000210 - FONDATION BON SAUVEUR,BEGARD,Privé non lucratif,53 - Bretagne
2013,220000236,220000236 - CENTRE HOSPITALIER DE PLOUGUERNEVEL,PLOUGUERNEVEL,Privé non lucratif,53 - Bretagne
2013,220000269,220000269 - CLINIQUE ARMOR. DE RADIOLOGIE,SAINT-BRIEUC,Privé lucratif,53 - Bretagne
2013,220000285,220000285 - C.H.P DE ST BRIEUC - SITE JEANNE D'ARC,SAINT-BRIEUC,Privé lucratif,53 - Bretagne
2013,220000301,220000301 - C.H.P. SITE DU LITTORAL,SAINT-BRIEUC,Privé lucratif,53 - Bretagne
2013,220000319,220000319 - CLINIQUE -LA CERISAIE-,TREGUEUX,Privé lucratif,53 - Bretagne
2013,220000327,220000327 - CLINIQUE DU VAL JOSSELIN,YFFINIAC,Privé lucratif,53 - Bretagne
2013,220000343,220000343 - CENTRE HOSPITALIER GUINGAMP,GUINGAMP,Public,53 - Bretagne
2013,220000368,220000368 - CENTRE HOSPITALIER LANNION,LANNION,Public,53 - Bretagne
2013,220000467,220000467 - Clinique Maison de Velleda,PLANCOET,Privé lucratif,53 - Bretagne
2013,220000475,220000475 - ETS LES CHATELETS,PLOUFRAGAN,Privé non lucratif,53 - Bretagne
2013,220000483,220000483 - Centre Hospitalier du Centre Bretagne- site de Loudéac,LOUDEAC,Public,53 - Bretagne
2013,220000541,220000541 - CENTRE HOSPITALIER PAIMPOL,PAIMPOL,Public,53 - Bretagne
2013,220000566,220000566 - CENTRE HOSPITALIER LAMBALLE,LAMBALLE,Public,53 - Bretagne
2013,220000574,220000574 - CENTRE HOSPITALIER QUINTIN,QUINTIN,Public,53 - Bretagne
2013,220000590,220000590 - CENTRE HELIO MARIN PLERIN,PLERIN,Privé non lucratif,53 - Bretagne
2013,220001259,220001259 - CENTRE HOSPITALIER TREGUIER,TREGUIER,Public,53 - Bretagne
2013,220005557,220005557 - CTRE DE LONG SEJOUR CH LANNION,LANNION,Public,53 - Bretagne
2013,220005599,220005599 - POLYCLINIQUE DU PAYS DE RANCE,DINAN,Privé lucratif,53 - Bretagne
2013,220006423,220006423 - CTRE DE LONG SEJOUR CH PAIMPOL,PAIMPOL,Public,53 - Bretagne
2013,220006456,220006456 - CTRE LONG SEJOUR CH LAMBALLE,LAMBALLE,Public,53 - Bretagne
2013,220006472,220006472 - CTRE DE LONG SEJOUR CH DINAN,DINAN,Public,53 - Bretagne
2013,220007645,220007645 - USLD CH TREGUIER,TREGUIER,Public,53 - Bretagne
2013,220012751,220012751 - HOPITAL DE JOUR ENFANTS,ROSTRENEN,Privé non lucratif,53 - Bretagne
2013,220012884,220012884 - CENTRE REEDUCATION DE TRESTEL,TREVOU-TREGUIGNEC,Public,53 - Bretagne
2013,220013106,220013106 - AUTODIALYSE BEGARD,BEGARD,Privé non lucratif,53 - Bretagne
2013,220013122,220013122 - AUTODIALYSE LANNION,LANNION,Privé non lucratif,53 - Bretagne
2013,220013130,220013130 - AUTODIALYSE PAIMPOL,PAIMPOL,Privé non lucratif,53 - Bretagne
2013,220013155,220013155 - AUTODIALYSE SAINT ALBAN,SAINT-ALBAN,Privé non lucratif,53 - Bretagne
2013,220014138,220014138 - CENTRE DE LONG SEJOUR ROSTRENEN,ROSTRENEN,Privé non lucratif,53 - Bretagne
2013,220014286,220014286 - AUTODIALYSE LANGUEUX,LANGUEUX,Privé non lucratif,53 - Bretagne
2013,220014708,220014708 - CSSRAA L'AVANCÉE,SAINT-BRIEUC,Privé non lucratif,53 - Bretagne
2013,220016430,220016430 - AUTODIALYSE LEHON-DINAN,LEHON,Privé non lucratif,53 - Bretagne
2013,220016778,220016778 - CTRE D'ENTRAINEMENT ET REPLI ST BRIEUC,SAINT-BRIEUC,Privé non lucratif,53 - Bretagne
2013,220018899,220018899 - AUTODIALYSE SAINT BRIEUC,SAINT-BRIEUC,Privé non lucratif,53 - Bretagne
2013,220019061,220019061 - SSR GERIATRIQUE,SAINT-BRIEUC,Public,53 - Bretagne
2013,220019558,220019558 - UDM DE SAINT BRIEUC,SAINT-BRIEUC,Privé non lucratif,53 - Bretagne
2013,220019616,220019616 - HAD DU PAYS BRIOCHIN,SAINT-BRIEUC,Privé non lucratif,53 - Bretagne
2013,220019848,220019848 - UNITE D'AUTODIALYSE DE LOUDEAC,LOUDEAC,Privé non lucratif,53 - Bretagne
2013,220020101,220020101 - UDM DE LANNION,LANNION,Public,53 - Bretagne
2013,220020119,220020119 - UDM DE PAIMPOL,PAIMPOL,Public,53 - Bretagne
2013,220020341,220020341 - AUB SANTE - HAD DU PAYS DE GUINGAMP,GUINGAMP,Privé non lucratif,53 - Bretagne
2013,220020507,220020507 - CENTRE DE DIALYSE DE LANNION,LANNION,Privé non lucratif,53 - Bretagne
2013,220020697,220020697 - SELARL GROUPE MEDICAL CLINIQUE ARMORICAINE DE RADIOLOGIE,SAINT-BRIEUC,Privé lucratif,53 - Bretagne
2013,220022149,220022149 - UDM SITE CH GUINGAMP,GUINGAMP,Public,53 - Bretagne
2013,230000259,230000259 - USLD - CH GUERET,GUERET,Public,74 - Limousin
2013,230000820,230000820 - CENTRE HOSPITALIER GUERET,GUERET,Public,74 - Limousin
2013,230000838,230000838 - CENTRE HOSPITALIER D'AUBUSSON,AUBUSSON,Public,74 - Limousin
2013,230000846,230000846 - C H BERNARD DESPLAS  BOURGANEUF,BOURGANEUF,Public,74 - Limousin
2013,230000853,230000853 - CENTRE HOSPITALIER SAINT VAURY,SAINT-VAURY,Public,74 - Limousin
2013,230000952,230000952 - CTRE HOSPITALIER MOYEN SEJOUR EVAUX,EVAUX-LES-BAINS,Public,74 - Limousin
2013,230000960,230000960 - CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE,LA SOUTERRAINE,Public,74 - Limousin
2013,230003576,230003576 - UNITE D'AUTODIALYSE DE GUERET,GUERET,Privé non lucratif,74 - Limousin
2013,230004657,230004657 - SITE CROIX BLANCHE,SAINT-PIERRE-DE-FURSAC,Public,74 - Limousin
2013,230780082,230780082 - CENTRE MEDICAL SAINTE FEYRE,SAINTE-FEYRE,Privé non lucratif,74 - Limousin
2013,230780157,230780157 - CLINIQUE DE LA MARCHE GUERET,GUERET,Privé lucratif,74 - Limousin
2013,230780181,230780181 - CLINIQUE  CHATELGUYON  VIERSAT,VIERSAT,Privé lucratif,74 - Limousin
2013,230780199,230780199 - ASSOCIATION CLINIQUE DE LA CROIX BLANCHE,MOUTIER-ROZEILLE,Privé non lucratif,74 - Limousin
2013,230782617,230782617 - CRRF ANDRE LALANDE,NOTH,Privé non lucratif,74 - Limousin
2013,240000091,240000091 - C.H DE LANMARY,ANTONNE-ET-TRIGONANT,Public,72 - Aquitaine
2013,240000174,240000174 - CENTRE HOSPITALIER DE BELVES,BELVES,Public,72 - Aquitaine
2013,240000190,240000190 - POLYCLINIQUE FRANCHEVILLE,PERIGUEUX,Privé lucratif,72 - Aquitaine
2013,240000208,240000208 - CLINIQUE PASTEUR,BERGERAC,Privé lucratif,72 - Aquitaine
2013,240000216,240000216 - CLINIQUE DU PARC,PERIGUEUX,Privé lucratif,72 - Aquitaine
2013,240000273,240000273 - Clinique Pierre de Brantôme,BRANTOME,Privé lucratif,72 - Aquitaine
2013,240000307,240000307 - CENTRE MEDICAL CHATEAU DE BASSY,SAINT-MEDARD-DE-MUSSIDAN,Privé non lucratif,72 - Aquitaine
2013,240000372,240000372 - C.H DE BERGERAC,BERGERAC,Public,72 - Aquitaine
2013,240000414,240000414 - CENTRE HOSPITALIER DE DOMME,DOMME,Public,72 - Aquitaine
2013,240000455,240000455 - CENTRE HOSPITALIER D'EXCIDEUIL,EXCIDEUIL,Public,72 - Aquitaine
2013,240000463,240000463 - CENTRE HOSPITALIER VAUCLAIRE,MONTPON-MENESTEROL,Public,72 - Aquitaine
2013,240000471,240000471 - CENTRE HOSPITALIER DE NONTRON,NONTRON,Public,72 - Aquitaine
2013,240000489,240000489 - CENTRE HOSPITALIER DE PERIGUEUX,PERIGUEUX,Public,72 - Aquitaine
2013,240000505,240000505 - CENTRE HOSPITALIER DE RIBERAC,RIBERAC,Public,72 - Aquitaine
2013,240000513,240000513 - CENTRE HOSPITALIER DE SAINT-ASTIER,SAINT-ASTIER,Public,72 - Aquitaine
2013,240000521,240000521 - CENTRE HOSPITALIER CHENARD,SAINT-AULAYE,Public,72 - Aquitaine
2013,240000539,240000539 - CENTRE HOSPITALIER LA MEYNARDIE,SAINT-PRIVAT-DES-PRES,Public,72 - Aquitaine
2013,240000646,240000646 - FONDATION JOHN BOST,LA FORCE,Privé non lucratif,72 - Aquitaine
2013,240000661,240000661 - MAISON REPOS ET CONVALESCENCE DE LOLME,LOLME,Privé non lucratif,72 - Aquitaine
2013,240000687,240000687 - CENTRE HOSPITALIER SARLAT,SARLAT-LA-CANEDA,Public,72 - Aquitaine
2013,240002402,240002402 - CTRE READAPT FONCTION LA LANDE,ANNESSE-ET-BEAULIEU,Privé lucratif,72 - Aquitaine
2013,240002691,240002691 - Antenne d'autodialyse AURAD-Aquitaine - BERGERAC,BERGERAC,Privé non lucratif,72 - Aquitaine
2013,240002725,240002725 - Antenne d'autodialyse AURAD-Aquitaine - CASTELS,CASTELS,Privé non lucratif,72 - Aquitaine
2013,240003293,240003293 - ANTENNE D'AUTODIALYSE FRANCHEVILLE - RIBERAC,RIBERAC,Privé lucratif,72 - Aquitaine
2013,240003301,240003301 - ANTENNE D'AUTODIALYSE FRANCHEVILLE - MONTIGNAC,MONTIGNAC,Privé lucratif,72 - Aquitaine
2013,240003392,240003392 - HOPITAL DE JOUR ENFANTS LES NYMPHEAS (EN FAIT TOUS LES SECTEURS DE PSYCHIATRIE ADULTES E,PERIGUEUX,Public,72 - Aquitaine
2013,240006734,240006734 - CENTRE D'HEMODIALYSE FRANCHEVILLE,PERIGUEUX,Privé lucratif,72 - Aquitaine
2013,240008318,240008318 - SARL LE VERGER DES BALANS,ANNESSE-ET-BEAULIEU,Privé lucratif,72 - Aquitaine
2013,240011668,240011668 - CLINIQUE PASTEUR,BERGERAC,Privé lucratif,72 - Aquitaine
2013,240013219,240013219 - ANTENNE/UNITE DE DIALYSE FRANCHEVILLE - PERIGUEUX,PERIGUEUX,Privé lucratif,72 - Aquitaine
2013,240013466,240013466 - ANTENNE D'AUTODIALYSE FRANCHEVILLE - BERGERAC,BERGERAC,Privé lucratif,72 - Aquitaine
2013,250000023,250000023 - CHU SAINT-JACQUES,BESANCON,Public,43 - Franche-Comté
2013,250000114,250000114 - C H   BOULLOCHE  MONTBELIARD,MONTBELIARD,Public,43 - Franche-Comté
2013,250000270,250000270 - CLINIQUE ST VINCENT,BESANCON,Privé lucratif,43 - Franche-Comté
2013,250000288,250000288 - CLINIQUE ST PIERRE,PONTARLIER,Privé lucratif,43 - Franche-Comté
2013,250000353,250000353 - CLINIQUE DE L'ORANGERIE,BESANCON,Privé lucratif,43 - Franche-Comté
2013,250000544,250000544 - CRRF BREGILLE,BESANCON,Privé non lucratif,43 - Franche-Comté
2013,250000619,250000619 - PSYCHIATRIQUE ADULTE PONTARLIER,PONTARLIER,Public,43 - Franche-Comté
2013,250000627,250000627 - HL P NAPPEZ MORTEAU,MORTEAU,Public,43 - Franche-Comté
2013,250000635,250000635 - HL STE CROIX BAUME LES DAMES,BAUME-LES-DAMES,Public,43 - Franche-Comté
2013,250000700,250000700 - CHI HAUTE COMTÉ SITE DE PONTARLIER,PONTARLIER,Public,43 - Franche-Comté
2013,250000718,250000718 - CHS NOVILLARS,NOVILLARS,Public,43 - Franche-Comté
2013,250000726,250000726 - HL ST LOUIS ORNANS,ORNANS,Public,43 - Franche-Comté
2013,250000734,250000734 - CHI HAUTE-COMTÉ SITE R. SALINS MOUTHE,MOUTHE,Public,43 - Franche-Comté
2013,250000759,250000759 - CENTRE DE SOINS ET DE READAPTATION - LES TILLEROYES,BESANCON,Public,43 - Franche-Comté
2013,250000882,250000882 - CRF  QUINGEY,QUINGEY,Public,43 - Franche-Comté
2013,250001237,250001237 - USLD BELLEVAUX,BESANCON,Public,43 - Franche-Comté
2013,250001252,250001252 - USLD  J WEINMAN AVANNE,AVANNE-AVENEY,Public,43 - Franche-Comté
2013,250004009,250004009 - LE MITTAN ANNEXE DU CH,MONTBELIARD,Public,43 - Franche-Comté
2013,250005196,250005196 - HOPITAL DE JOUR VELOTTE,BESANCON,Privé non lucratif,43 - Franche-Comté
2013,250006954,250006954 - CHU JEAN MINJOZ,BESANCON,Public,43 - Franche-Comté
2013,250007234,250007234 - USLD PONTARLIER,DOUBS,Public,43 - Franche-Comté
2013,250011723,250011723 - CLINIQUE DE MONTBELIARD,MONTBELIARD,Privé lucratif,43 - Franche-Comté
2013,250011848,250011848 - POLYCLINIQUE FRANCHE COMTE,BESANCON,Privé non lucratif,43 - Franche-Comté
2013,250012069,250012069 - UNITE HOSPIT. A DOMICILE PONTARLIER,PONTARLIER,Privé non lucratif,43 - Franche-Comté
2013,250012838,250012838 - UNITÉ HOSPIT. DOMICILE PRE-POST PARTUM,BESANCON,Privé non lucratif,43 - Franche-Comté
2013,250013448,250013448 - OSMOSE DIALYSE PONTARLIER,PONTARLIER,Privé non lucratif,43 - Franche-Comté
2013,250014008,250014008 - CENTRE DE PSYCHIATRIE JEAN MESSAGIER,MONTBELIARD,Privé non lucratif,43 - Franche-Comté
2013,250015526,250015526 - CENTRE DE DIALYSE MEDICALISE,BESANCON,Privé non lucratif,43 - Franche-Comté
2013,250015534,250015534 - CTRE DE DIALYSE MEDICALISE LA LIZAINE,MONTBELIARD,Privé non lucratif,43 - Franche-Comté
2013,250016003,250016003 - CTR RÉAD CARDIO-PNEUMO HAUTS DE CHAZAL,FRANOIS,Privé non lucratif,43 - Franche-Comté
2013,250016037,250016037 - UNITE HOSPIT. A DOMICILE ETUPES,ETUPES,Privé non lucratif,43 - Franche-Comté
2013,250016045,250016045 - UNITE HOSPIT A DOMICILE BESANCON,BESANCON,Privé non lucratif,43 - Franche-Comté
2013,260000013,260000013 - CH DE VALENCE,VALENCE,Public,82 - Rhône-Alpes
2013,260000120,260000120 - HOPITAUX DROME NORD ROMANS,ROMANS-SUR-ISERE,Public,82 - Rhône-Alpes
2013,260000138,260000138 - CH DE MONTÉLIMAR,MONTELIMAR,Public,82 - Rhône-Alpes
2013,260000146,260000146 - CENTRE HOSPITALIER DE CREST,CREST,Public,82 - Rhône-Alpes
2013,260000153,260000153 - CENTRE SSR STE CATHERINE LABOURE,LA BAUME-D'HOSTUN,Privé non lucratif,82 - Rhône-Alpes
2013,260000195,260000195 - CLINIQUE PNEUMOLOGIE LES RIEUX,NYONS,Privé non lucratif,82 - Rhône-Alpes
2013,260000203,260000203 - HOPITAUX DROME NORD ST VALLIER,SAINT-VALLIER,Public,82 - Rhône-Alpes
2013,260000229,260000229 - HÔPITAL LOCAL DE DIEULEFIT,DIEULEFIT,Public,82 - Rhône-Alpes
2013,260000237,260000237 - HL DE NYONS,NYONS,Public,82 - Rhône-Alpes
2013,260000260,260000260 - CLINIQUE LA PARISIERE,BOURG-DE-PEAGE,Privé lucratif,82 - Rhône-Alpes
2013,260000278,260000278 - HL DE BUIS LES BARONNIES,BUIS-LES-BARONNIES,Public,82 - Rhône-Alpes
2013,260000286,260000286 - CENTRE HOSPITALIER DIE,DIE,Public,82 - Rhône-Alpes
2013,260000302,260000302 - ETABLISSEMENT MEDICAL LA TEPPE,TAIN-L'HERMITAGE,Privé non lucratif,82 - Rhône-Alpes
2013,260000682,260000682 - CMPR LES BAUMES,VALENCE,Privé non lucratif,82 - Rhône-Alpes
2013,260000823,260000823 - CHS LE VALMONT,MONTELEGER,Public,82 - Rhône-Alpes
2013,260001631,260001631 - CENTRE DIALYSE AGDUC MONTELIMAR,MONTELIMAR,Privé non lucratif,82 - Rhône-Alpes
2013,260003017,260003017 - CLINIQUE KENNEDY,MONTELIMAR,Privé lucratif,82 - Rhône-Alpes
2013,260003140,260003140 - UNITE AUTODIAL AGDUC - CREST,CREST,Privé non lucratif,82 - Rhône-Alpes
2013,260003157,260003157 - CENTRE MARIE CURIE,VALENCE,Privé lucratif,82 - Rhône-Alpes
2013,260003215,260003215 - CENTRE DIALYSE AGDUC - VALENCE,VALENCE,Privé non lucratif,82 - Rhône-Alpes
2013,260003280,260003280 - SCE DE SPECIALITE LE VERCORS CH ROMANS,ROMANS-SUR-ISERE,Public,82 - Rhône-Alpes
2013,260003363,260003363 - USLD DE L'ATRIR NYONS,NYONS,Privé non lucratif,82 - Rhône-Alpes
2013,260006267,260006267 - HPDA CLINIQUE GENERALE,VALENCE,Privé lucratif,82 - Rhône-Alpes
2013,260006655,260006655 - HJ ENFANTS CH DE MONTÉLIMAR,MONTELIMAR,Public,82 - Rhône-Alpes
2013,260006820,260006820 - UNITE DIALYSE AGDUC - ROMANS,ROMANS-SUR-ISERE,Privé non lucratif,82 - Rhône-Alpes
